2026-01-24 16:48:22,184 | WARNING  | IntlExtractor | Request failed (attempt 3): HTTPConnectionPool(host='dataservices.imf.org', port=80): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/WEO/A.US.NGDP_RPCH?startPeriod=2020&endPeriod=2025 (Caused by NewConnectionError("HTTPConnection(host='dataservices.imf.org', port=80): Failed to establish a new connection: [Errno 61] Connection refused"))
2026-01-24 16:48:22,208 | WARNING  | IntlExtractor | Request failed (attempt 1): HTTPConnectionPool(host='dataservices.imf.org', port=80): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/WEO/A.US.GGX_NGDP?startPeriod=2020&endPeriod=2025 (Caused by NewConnectionError("HTTPConnection(host='dataservices.imf.org', port=80): Failed to establish a new connection: [Errno 61] Connection refused"))
2026-01-24 16:48:23,232 | WARNING  | IntlExtractor | Request failed (attempt 2): HTTPConnectionPool(host='dataservices.imf.org', port=80): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/WEO/A.US.GGX_NGDP?startPeriod=2020&endPeriod=2025 (Caused by NewConnectionError("HTTPConnection(host='dataservices.imf.org', port=80): Failed to establish a new connection: [Errno 61] Connection refused"))
2026-01-24 16:48:25,295 | WARNING  | IntlExtractor | Request failed (attempt 3): HTTPConnectionPool(host='dataservices.imf.org', port=80): Max retries exceeded with url: /REST/SDMX_JSON.svc/CompactData/WEO/A.US.GGX_NGDP?startPeriod=2020&endPeriod=2025 (Caused by NewConnectionError("HTTPConnection(host='dataservices.imf.org', port=80): Failed to establish a new connection: [Errno 61] Connection refused"))
2026-01-24 16:48:25,301 | INFO     | IntlExtractor | Completed imf: 0 records
2026-01-24 16:48:25,301 | INFO     | IntlExtractor | ==================================================
2026-01-24 16:48:25,301 | INFO     | IntlExtractor | EXTRACTING FROM WORLD_BANK
2026-01-24 16:48:25,301 | INFO     | IntlExtractor | ==================================================
2026-01-24 16:48:48,122 | INFO     | IntlExtractor | Completed world_bank: 27 records
2026-01-24 16:48:48,122 | INFO     | IntlExtractor | ==================================================
2026-01-24 16:48:48,123 | INFO     | IntlExtractor | EXTRACTING FROM UN
2026-01-24 16:48:48,123 | INFO     | IntlExtractor | ==================================================
2026-01-24 16:48:48,124 | INFO     | IntlExtractor | Extracting UNSC resolutions from Zenodo...
2026-01-24 16:48:49,015 | INFO     | IntlExtractor | Completed un: 0 records
2026-01-24 16:48:49,015 | INFO     | IntlExtractor | ==================================================
2026-01-24 16:48:49,015 | INFO     | IntlExtractor | EXTRACTING FROM ICJ
2026-01-24 16:48:49,015 | INFO     | IntlExtractor | ==================================================
2026-01-24 16:48:49,017 | INFO     | IntlExtractor | Extracting ICJ cases from Zenodo...
2026-01-24 16:48:50,745 | INFO     | IntlExtractor | Completed icj: 0 records
2026-01-24 16:48:50,746 | INFO     | IntlExtractor | ==================================================
2026-01-24 16:48:50,746 | INFO     | IntlExtractor | EXTRACTING FROM NATO
2026-01-24 16:48:50,746 | INFO     | IntlExtractor | ==================================================
2026-01-24 16:48:50,746 | INFO     | IntlExtractor | Extracting NATO communiqués...
2026-01-24 16:48:51,429 | INFO     | IntlExtractor | Inserted 0 NATO documents
2026-01-24 16:48:51,430 | INFO     | IntlExtractor | Completed nato: 0 records
2026-01-24 16:48:51,435 | INFO     | IntlExtractor | Exported threat tracker data to ./exports/threat_tracker_data.json
2026-01-24 16:49:25,936 | INFO     | IntlExtractor | Database initialized at ./data/intl_obligations.db
2026-01-24 16:49:25,937 | INFO     | IntlExtractor | Master Extractor initialized
2026-01-24 16:49:25,937 | INFO     | IntlExtractor | Starting extraction from: wto, imf, world_bank, un, icj, nato
2026-01-24 16:49:25,937 | INFO     | IntlExtractor | ==================================================
2026-01-24 16:49:25,937 | INFO     | IntlExtractor | EXTRACTING FROM WTO
2026-01-24 16:49:25,937 | INFO     | IntlExtractor | ==================================================
2026-01-24 16:49:25,937 | WARNING  | IntlExtractor | WTO API key not set - skipping trade data
2026-01-24 16:49:25,937 | INFO     | IntlExtractor | Extracting WTO disputes...
2026-01-24 16:49:26,139 | INFO     | IntlExtractor | Inserted 0 WTO disputes
2026-01-24 16:49:26,140 | INFO     | IntlExtractor | Completed wto: 0 records
2026-01-24 16:49:26,140 | INFO     | IntlExtractor | ==================================================
2026-01-24 16:49:26,140 | INFO     | IntlExtractor | EXTRACTING FROM IMF
2026-01-24 16:49:26,140 | INFO     | IntlExtractor | ==================================================
